STATION,NAME,DATE,YEAR,PRCP,SNOW,SNWD,TMAX,TMIN
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/1/38,1938,0.14,0,0,67,39
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/2/38,1938,0,0,0,68,46
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/3/38,1938,0,0,0,65,48
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/4/38,1938,0,0,0,71,36
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/5/38,1938,0,0,0,81,43
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/6/38,1938,0.2,0,0,71,58
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/7/38,1938,0,0,0,63,48
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/8/38,1938,0,0,0,59,44
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/9/38,1938,0,0,0,57,37
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/10/38,1938,0.16,0,0,53,43
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/11/38,1938,0.08,0,0,49,40
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/12/38,1938,0,0,0,51,34
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/13/38,1938,0.15,0,0,54,39
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/14/38,1938,0.13,0,0,66,35
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/15/38,1938,0.74,0,0,51,44
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/16/38,1938,0.3,0,0,67,44
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/17/38,1938,0,0,0,69,45
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/18/38,1938,0,0,0,73,43
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/19/38,1938,0,0,0,64,52
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/20/38,1938,0.2,0,0,80,58
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/21/38,1938,0.01,0,0,67,49
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/22/38,1938,0.05,0,0,70,49
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/23/38,1938,0,0,0,72,47
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/24/38,1938,0.13,0,0,68,49
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/25/38,1938,0.21,0,0,65,36
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/26/38,1938,0,0,0,72,46
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/27/38,1938,0,0,0,79,52
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/28/38,1938,0,0,0,79,50
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/29/38,1938,0,0,0,76,49
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/30/38,1938,0.11,0,0,74,48
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/31/38,1938,0,0,0,74,47
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/1/38,1938,0,0,0,79,48
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/2/38,1938,0,0,0,82,58
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/3/38,1938,0.31,0,0,73,54
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/4/38,1938,0,0,0,80,46
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/5/38,1938,0.26,0,0,72,54
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/6/38,1938,0.15,0,0,76,51
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/7/38,1938,0.04,0,0,83,56
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/8/38,1938,0.53,0,0,74,50
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/9/38,1938,0.02,0,0,71,49
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/10/38,1938,0,0,0,80,45
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/11/38,1938,0.07,0,0,85,65
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/12/38,1938,0.03,0,0,77,55
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/13/38,1938,0.63,0,0,73,48
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/14/38,1938,0,0,0,78,44
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/15/38,1938,0,0,0,81,50
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/16/38,1938,0,0,0,84,56
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/17/38,1938,0,0,0,79,58
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/18/38,1938,0.14,0,0,81,60
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/19/38,1938,0,0,0,69,54
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/20/38,1938,0,0,0,85,51
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/21/38,1938,0,0,0,90,51
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/22/38,1938,0,0,0,87,60
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/23/38,1938,0,0,0,89,63
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/24/38,1938,0,0,0,91,63
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/25/38,1938,0,0,0,91,68
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/26/38,1938,0.71,0,0,73,57
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/27/38,1938,0.1,0,0,66,53
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/28/38,1938,0,0,0,74,51
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/29/38,1938,0,0,0,76,49
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",6/30/38,1938,0,0,0,81,50
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/1/38,1938,0.09,0,0,70,60
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/2/38,1938,0.13,0,0,75,60
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/3/38,1938,0,0,0,73,49
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/4/38,1938,0,0,0,77,49
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/5/38,1938,0,0,0,85,59
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/6/38,1938,0,0,0,77,60
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/7/38,1938,0,0,0,85,49
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/8/38,1938,0.06,0,0,94,62
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/9/38,1938,0.09,0,0,88,73
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/10/38,1938,0,0,0,81,69
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/11/38,1938,0,0,0,81,60
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/12/38,1938,0.32,0,0,82,63
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/13/38,1938,0,0,0,87,61
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/14/38,1938,0,0,0,90,64
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/15/38,1938,1.04,0,0,73,60
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/16/38,1938,0,0,0,83,50
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/17/38,1938,0,0,0,88,64
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/18/38,1938,0.61,0,0,79,63
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/19/38,1938,0.01,0,0,87,60
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/20/38,1938,0,0,0,88,64
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",7/21/38,1938,0,0,0,82,56
