"PRCP","SNOW","SNWD","TMAX","TMIN"
0.14,0,0,67,39
0,0,0,68,46
0,0,0,65,48
0,0,0,71,36
0,0,0,81,43
0.2,0,0,71,58
0,0,0,63,48
0,0,0,59,44
0,0,0,57,37
0.16,0,0,53,43
0.08,0,0,49,40
0,0,0,51,34
0.15,0,0,54,39
0.13,0,0,66,35
0.74,0,0,51,44
0.3,0,0,67,44
0,0,0,69,45
0,0,0,73,43
0,0,0,64,52
0.2,0,0,80,58
0.01,0,0,67,49
0.05,0,0,70,49
0,0,0,72,47
0.13,0,0,68,49
0.21,0,0,65,36
0,0,0,72,46
0,0,0,79,52
0,0,0,79,50
0,0,0,76,49
0.11,0,0,74,48
0,0,0,74,47
0,0,0,79,48
0,0,0,82,58
0.31,0,0,73,54
0,0,0,80,46
0.26,0,0,72,54
0.15,0,0,76,51
0.04,0,0,83,56
0.53,0,0,74,50
0.02,0,0,71,49
0,0,0,80,45
0.07,0,0,85,65
0.03,0,0,77,55
0.63,0,0,73,48
0,0,0,78,44
0,0,0,81,50
0,0,0,84,56
0,0,0,79,58
0.14,0,0,81,60
0,0,0,69,54
0,0,0,85,51
0,0,0,90,51
0,0,0,87,60
0,0,0,89,63
0,0,0,91,63
0,0,0,91,68
0.71,0,0,73,57
0.1,0,0,66,53
0,0,0,74,51
0,0,0,76,49
0,0,0,81,50
0.09,0,0,70,60
0.13,0,0,75,60
0,0,0,73,49
0,0,0,77,49
0,0,0,85,59
0,0,0,77,60
0,0,0,85,49
0.06,0,0,94,62
0.09,0,0,88,73
0,0,0,81,69
0,0,0,81,60
0.32,0,0,82,63
0,0,0,87,61
0,0,0,90,64
1.04,0,0,73,60
0,0,0,83,50
0,0,0,88,64
0.61,0,0,79,63
0.01,0,0,87,60
0,0,0,88,64
0,0,0,82,56
0,0,0,86,54
2.83,0,0,81,56
0.08,0,0,84,64
0,0,0,89,59
0,0,0,90,64
0,0,0,82,62
0,0,0,90,64
0.46,0,0,84,66
0,0,0,85,63
0.1,0,0,88,61
0.39,0,0,84,68
0,0,0,90,69
0,0,0,94,71
0,0,0,95,73
0.03,0,0,85,61
0,0,0,90,57
1.58,0,0,88,68
0,0,0,88,61
0,0,0,84,66
0,0,0,83,56
2.12,0,0,80,69
0.05,0,0,75,58
0,0,0,84,63
0,0,0,87,67
0,0,0,94,69
0,0,0,92,74
0,0,0,94,68
0.37,0,0,75,61
0.01,0,0,85,58
0,0,0,88,55
0,0,0,91,64
0.33,0,0,81,68
0,0,0,84,61
0.19,0,0,77,55
0,0,0,73,55
0,0,0,75,50
0,0,0,78,56
0,0,0,74,51
0,0,0,81,45
0,0,0,76,58
0.07,0,0,86,50
0.03,0,0,72,49
0,0,0,69,45
0,0,0,75,43
0.11,0,0,82,58
0,0,0,65,42
0,0,0,69,38
0,0,0,68,53
0.58,0,0,62,43
0,0,0,65,37
0,0,0,72,38
0,0,0,75,50
0,0,0,71,48
0.69,0,0,75,58
0,0,0,69,48
0.66,0,0,72,58
0.22,0,0,58,48
0,0,0,56,49
0.19,0,0,75,51
0.01,0,0,79,59
0.04,0,0,59,52
0.37,0,0,53,48
1.58,0,0,62,49
0.46,0,0,69,52
0,0,0,70,44
0.02,0,0,63,36
0,0,0,75,33
0.03,0,0,68,49
0.08,0,0,70,44
0,0,0,62,41
0,0,0,62,37
0,0,0,57,41
0,0,0,58,33
0,0,0,62,31
0,0,0,66,32
0,0,0,65,34
0.02,0,0,53,34
0,0,0,57,27
0,0,0,60,26
0,0,0,57,47
0,0,0,63,41
0,0,0,78,42
0,0,0,85,46
0,0,0,80,64
0,0,0,72,47
0,0,0,79,41
0,0,0,77,45
0,0,0,79,47
0,0,0,72,42
0,0,0,76,47
0.19,0,0,62,44
0.11,0,0,55,45
0.04,0,0,56,41
0,0,0,68,40
0,0,0,62,44
0.24,0,0,55,41
0,0,0,70,41
0.02,0,0,54,43
0.02,0,0,55,38
0,0,0,56,36
0,0,0,52,31
0,0,0,52,25
0,0,0,55,24
0,0,0,62,27
0,0,0,70,35
0,0,0,71,38
0,0,0,72,51
0.28,0,0,67,38
0,0,0,80,60
0,0,0,76,38
0.55,0,0,47,35
0,0,0,58,28
0,0,0,66,30
0,0,0,60,42
0,0,0,64,46
0.54,0,0,46,30
0,2.5,3,37,30
0.36,1.5,1,37,26
0.02,0,0,59,37
0,0,0,65,41
0.43,0,0,48,32
0.32,0,0,49,26
0,0,0,51,31
0,0,0,60,36
0,1,1,36,19
0.04,1.2,2,20,9
0.17,1,2,24,8
0.03,0,2,25,5
0,0,1,30,4
0.06,0.8,1,31,24
0,0,0,45,29
0,0,0,41,33
0.01,0.1,0,33,15
0,0,0,30,11
0,0,0,49,28
0.06,0,0,52,31
0,0,0,59,34
0.51,0,0,47,36
0.05,0,0,45,32
0.01,0,0,47,34
0,0,0,47,34
0.2,0,0,42,36
0.1,0,0,39,32
0.23,0,0,41,29
0.25,3.1,2,39,28
0.01,8.3,8,34,18
0.55,6.5,11,23,8
0.17,0.2,7,28,0
0,0,2,39,28
0,0,1,33,31
0.01,0.3,1,38,29
0.01,0,1,35,24
0,0.4,1,31,21
0.04,1.3,2,29,9
0.02,0.2,2,30,12
0.04,0.5,1,35,30
0.09,4,5,35,25
0.13,0.3,3,37,14
0,0.3,0,45,17
0.18,3.8,4,22,7
0.11,0,3,30,6
0.02,0.2,2,32,14
0.01,3.2,5,27,13
0.1,1.2,0,42,20
0.02,0.4,1,44,17
0.02,0.1,1,21,12
0.04,0,1,25,14
0,0,0,46,25
0.03,0,0,46,35
0,0,0,51,35
0,0,0,40,32
0.04,0,0,51,31
0,0,0,55,37
0.03,1.2,1,38,27
0.11,0.8,2,29,18
0.02,0.2,1,27,14
0.03,1.1,2,25,15
0.01,0,2,32,10
0,0.6,2,33,10
0.06,0.9,2,29,14
0.06,1.5,2,18,12
0.08,2,4,21,9
0.05,0.8,3,29,6
0,0.2,3,34,16
0.93,1.1,2,40,6
0.17,1.2,3,22,5
0.02,0.9,2,34,23
0.17,2,3,31,2
0.13,0.6,3,8,-8
0,0,2,23,-12
0,0.2,2,35,16
0,0,1,37,29
0.14,10,9,29,22
0.99,3.7,11,23,10
0.11,0.2,10,31,3
0.04,0.3,8,43,10
0,0.3,6,38,28
0.08,1,7,30,17
0.01,0,5,30,14
0,0.3,6,32,9
0.27,1.9,8,35,27
0.01,0,6,44,18
0,0,5,39,17
0.06,0.2,4,43,23
0,0,3,31,14
0,0,3,38,9
0,0,1,42,18
0,0,5,51,14
0.29,1.4,1,31,16
0.43,1.4,1,16,-4
0,0.2,1,35,0
0.02,0,0,40,29
0,0,0,55,25
0.44,0,0,59,22
0,1.2,1,22,12
0.48,5.4,5,17,9
0.2,0.9,4,22,7
0.02,0.5,4,31,18
0.02,0,3,31,9
0,0.1,1,45,25
0.45,0,0,37,23
0,0,0,46,21
0.22,0.1,0,46,26
0.01,0,0,32,16
0,0,0,47,23
0,0,0,48,37
0.01,0,0,45,37
0.49,0,0,52,29
0.03,0.7,1,31,16
0.02,0.1,0,28,7
0.04,4,4,27,20
0.3,1,4,30,7
0.03,0.2,4,29,2
0.04,3.8,7,29,20
0.5,1,5,35,26
0.01,0,4,36,14
0,0,3,44,10
0.02,0,2,35,19
0,0,1,28,16
0,0,1,25,9
0.01,0.1,1,26,7
0.05,1.2,0,44,24
0.02,0.4,0,28,18
0.02,0.2,0,34,9
0,0,0,47,22
0,0,0,55,31
0,0,0,49,28
0.2,0,0,73,37
0.4,0,0,54,25
0,0,0,42,24
0,0,0,42,22
0,0,0,45,33
0.67,0.2,0,42,32
0,0,0,57,35
0.2,0,0,40,31
0.09,0,0,33,28
0.28,0,0,31,24
0,0,0,44,26
0,0,0,46,28
0.21,0,0,36,23
0,0,0,50,24
0.14,0,0,38,23
0.02,0,0,46,24
0.35,0,0,40,34
0.09,0,0,39,22
0.12,0,0,44,25
0,0,0,48,35
0.25,0,0,47,32
0,0,0,48,25
0,0,0,52,30
0,0,0,68,39
0,0,0,53,42
0,0,0,49,40
0,0,0,62,35
0,0,0,51,45
0,0,0,59,37
0,0,0,78,40
0,0,0,71,45
0,0,0,70,52
0,0,0,70,41
0,0,0,52,41
0,0,0,59,41
0,0,0,54,33
0,0,0,55,34
0,0,0,58,37
0,0,0,60,29
0,0,0,64,32
0.01,0,0,67,49
0,0,0,83,50
0,0,0,86,60
0,0,0,86,52
0,0,0,81,54
0.05,0,0,79,46
0.01,0,0,60,42
0,0,0,52,37
0,0,0,58,34
0,0,0,65,30
0,0,0,68,37
0,0,0,73,47
0,0,0,71,48
0,0,0,57,37
0,0,0,83,33
0,0,0,70,49
0,0,0,72,52
0.02,0,0,70,56
